seccion,distrito,rango_edad,sexo,nacionalidad,procedencia,total
14,4,45 - 49,Mujer,Extranjero,POLONIA,1
9,1,40 - 44,Hombre,Extranjero,RUMANIA,5
2,4,95 - 99,Mujer,Nacional,CIUDAD REAL,1
30,3,50 - 54,Hombre,Nacional,VALENCIA,1
21,2,45 - 49,Mujer,Nacional,BADAJOZ,1
37,3,70 - 74,Hombre,Nacional,BADAJOZ,1
39,4,45 - 49,Mujer,Nacional,JAEN,1
33,4,60 - 64,Hombre,Extranjero,PORTUGAL,1
40,3,55 - 59,Mujer,Extranjero,SUIZA,1
3,3,25 - 29,Mujer,Nacional,MADRID,2
28,4,55 - 59,Hombre,Extranjero,EL SALVADOR,1
21,2,80 - 84,Mujer,Nacional,JAEN,1
27,4,75 - 79,Mujer,Nacional,AVILA,1
27,4,65 - 69,Mujer,Extranjero,BULGARIA,1
21,2,40 - 44,Hombre,Nacional,ASTURIAS,2
14,4,60 - 64,Hombre,Nacional,BADAJOZ,1
14,4,55 - 59,Mujer,Nacional,BADAJOZ,1
21,2,50 - 54,Hombre,Nacional,VALLADOLID,1
37,3,55 - 59,Mujer,Nacional,ZAMORA,1
14,1,45 - 49,Mujer,Nacional,BARCELONA,1
15,1,45 - 49,Mujer,Nacional,GUIPUZCOA,1
11,2,65 - 69,Mujer,Nacional,TOLEDO,1
21,2,55 - 59,Hombre,Nacional,TOLEDO,1
31,4,70 - 74,Hombre,Nacional,CIUDAD REAL,1
39,4,50 - 54,Mujer,Nacional,SEVILLA,1
29,4,15 - 19,Hombre,Extranjero,RUSIA,2
5,3,30 - 34,Hombre,Extranjero,FRANCIA,1
5,4,40 - 44,Mujer,Nacional,BADAJOZ,1
39,3,45 - 49,Hombre,Nacional,OURENSE,1
33,4,45 - 49,Mujer,Nacional,VIZCAYA,1
29,4,80 - 84,Mujer,Nacional,LUGO,1
2,4,45 - 49,Mujer,Extranjero,POLONIA,1
33,4,45 - 49,Hombre,Extranjero,BULGARIA,2
29,4,45 - 49,Hombre,Nacional,VALENCIA,1
11,3,35 - 39,Hombre,Extranjero,RUMANIA,3
21,2,45 - 49,Hombre,Nacional,NAVARRA,1
39,4,25 - 29,Hombre,Nacional,MADRID,20
6,1,45 - 49,Hombre,Nacional,SANTA CRUZ DE TENERIFE,1
9,2,35 - 39,Mujer,Extranjero,CHINA,1
23,3,50 - 54,Mujer,Nacional,VIZCAYA,1
4,2,30 - 34,Hombre,Extranjero,POLONIA,1
33,4,65 - 69,Hombre,Nacional,CACERES,1
33,4,70 - 74,Mujer,Nacional,CACERES,1
7,4,75 - 79,Mujer,Nacional,SALAMANCA,1
39,4,55 - 59,Mujer,Nacional,CIUDAD REAL,1
39,4,65 - 69,Hombre,Nacional,CORDOBA,1
2,4,35 - 39,Mujer,Extranjero,BULGARIA,2
1,3,80 - 84,Hombre,Nacional,CUENCA,1
3,4,50 - 54,Hombre,Extranjero,POLONIA,1
3,2,35 - 39,Hombre,Extranjero,RUMANIA,4
28,3,40 - 44,Hombre,Nacional,GRANADA,1
28,3,40 - 44,Mujer,Nacional,BARCELONA,1
38,3,70 - 74,Hombre,Nacional,VALLADOLID,1
39,3,65 - 69,Mujer,Nacional,SEVILLA,1
29,4,95 - 99,Mujer,Nacional,TOLEDO,1
29,4,40 - 44,Mujer,Nacional,MADRID,1
44,3,70 - 74,Mujer,Nacional,SORIA,1
4,4,30 - 34,Hombre,Extranjero,RUMANIA,4
27,3,30 - 34,Mujer,Extranjero,RUMANIA,1
14,1,35 - 39,Mujer,Extranjero,RUMANIA,8
39,4,30 - 34,Hombre,Nacional,MADRID,5
19,1,35 - 39,Mujer,Extranjero,RUMANIA,6
33,4,50 - 54,Hombre,Extranjero,REPUBLICA DOMINICANA,1
38,3,60 - 64,Mujer,Nacional,GUADALAJARA,1
39,4,50 - 54,Mujer,Extranjero,FRANCIA,2
16,1,65 - 69,Mujer,Extranjero,POLONIA,1
29,4,50 - 54,Hombre,Extranjero,PERU,6
4,4,35 - 39,Mujer,Extranjero,PORTUGAL,1
44,3,80 - 84,Hombre,Nacional,MADRID,2
38,3,45 - 49,Mujer,Nacional,VALLADOLID,1
6,1,40 - 44,Mujer,Nacional,,1
19,3,25 - 29,Hombre,Extranjero,BULGARIA,2
40,3,45 - 49,Mujer,Nacional,SEGOVIA,1
9,4,70 - 74,Hombre,Nacional,LUGO,1
14,2,70 - 74,Mujer,Extranjero,BULGARIA,1
39,4,65 - 69,Hombre,Nacional,CORDOBA,1
8,4,50 - 54,Mujer,Extranjero,BULGARIA,2
7,4,100 - 104,Mujer,Nacional,AVILA,1
40,3,75 - 79,Hombre,Nacional,SORIA,1
45,3,40 - 44,Mujer,Extranjero,RUMANIA,4
1,2,30 - 34,Mujer,Nacional,SALAMANCA,1
21,2,45 - 49,Mujer,Nacional,TOLEDO,1
18,1,45 - 49,Hombre,Nacional,MALAGA,1
39,3,80 - 84,Hombre,Nacional,CACERES,1
47,3,35 - 39,Mujer,Nacional,CADIZ,1
37,3,50 - 54,Mujer,Nacional,GUIPUZCOA,1
37,3,35 - 39,Mujer,Nacional,ZARAGOZA,2
16,3,60 - 64,Mujer,Nacional,AVILA,1
38,3,45 - 49,Mujer,Nacional,TOLEDO,1
5,3,55 - 59,Mujer,Nacional,BADAJOZ,1
39,3,70 - 74,Hombre,Nacional,BADAJOZ,1
6,4,40 - 44,Hombre,Nacional,CORDOBA,1
26,4,40 - 44,Hombre,Extranjero,BULGARIA,3
39,4,55 - 59,Mujer,Nacional,OURENSE,1
1,4,60 - 64,Mujer,Extranjero,RUMANIA,2
3,3,45 - 49,Hombre,Extranjero,ITALIA,1
15,3,50 - 54,Hombre,Extranjero,COLOMBIA,1
12,4,85 - 89,Mujer,Nacional,CIUDAD REAL,1
2,1,40 - 44,Hombre,Nacional,BADAJOZ,1
38,3,60 - 64,Hombre,Nacional,CACERES,1
13,2,60 - 64,Mujer,Nacional,CACERES,1
23,4,35 - 39,Mujer,Extranjero,POLONIA,2
18,4,65 - 69,Mujer,Nacional,MELILLA,1
29,4,45 - 49,Hombre,Nacional,ASTURIAS,1
40,3,70 - 74,Hombre,Nacional,TOLEDO,1
39,4,45 - 49,Hombre,Nacional,CANTABRIA,1
6,4,30 - 34,Hombre,Nacional,AVILA,1
5,2,40 - 44,Mujer,Extranjero,GAMBIA,1
33,3,45 - 49,Mujer,Nacional,TOLEDO,2
15,2,30 - 34,Hombre,Extranjero,RUMANIA,1
19,2,35 - 39,Mujer,Nacional,CACERES,1
29,4,35 - 39,Hombre,Nacional,AVILA,2
38,3,35 - 39,Hombre,Nacional,BARCELONA,1
39,3,55 - 59,Mujer,Extranjero,ECUADOR,1
17,2,75 - 79,Mujer,Nacional,CORDOBA,1
12,2,40 - 44,Hombre,Extranjero,RUMANIA,5
26,4,30 - 34,Hombre,Extranjero,POLONIA,1
17,4,70 - 74,Hombre,Nacional,TOLEDO,1
29,4,55 - 59,Mujer,Nacional,ASTURIAS,1
37,4,45 - 49,Hombre,Nacional,SALAMANCA,3
11,1,55 - 59,Hombre,Nacional,VALENCIA,1
5,4,50 - 54,Hombre,Nacional,BARCELONA,1
37,3,80 - 84,Mujer,Nacional,SALAMANCA,1
38,3,40 - 44,Mujer,Nacional,PALENCIA,1
5,2,75 - 79,Hombre,Nacional,CIUDAD REAL,1
6,4,40 - 44,Hombre,Extranjero,NIGERIA,2
37,3,45 - 49,Hombre,Nacional,VALENCIA,1
14,1,40 - 44,Hombre,Extranjero,RUMANIA,5
12,4,35 - 39,Hombre,Nacional,GRANADA,1
44,3,40 - 44,Mujer,Nacional,SALAMANCA,1
6,3,65 - 69,Hombre,Extranjero,RUMANIA,1
6,3,30 - 34,Mujer,Extranjero,RUMANIA,13
6,2,35 - 39,Mujer,Extranjero,RUMANIA,3
5,3,40 - 44,Hombre,Extranjero,ITALIA,1
39,3,45 - 49,Mujer,Nacional,CANTABRIA,2
39,3,65 - 69,Hombre,Nacional,TOLEDO,1
24,3,30 - 34,Mujer,Extranjero,CUBA,1
36,3,50 - 54,Hombre,Nacional,SORIA,1
8,1,35 - 39,Mujer,Extranjero,BULGARIA,1
38,3,35 - 39,Mujer,Extranjero,PORTUGAL,2
24,3,65 - 69,Mujer,Extranjero,BULGARIA,2
40,3,55 - 59,Hombre,Nacional,CUENCA,1
24,3,95 - 99,Mujer,Nacional,AVILA,1
44,3,60 - 64,Hombre,Nacional,SORIA,1
39,3,60 - 64,Mujer,Nacional,BADAJOZ,1
24,3,65 - 69,Hombre,Nacional,CIUDAD REAL,1
15,4,35 - 39,Mujer,Nacional,CIUDAD REAL,1
21,2,45 - 49,Mujer,Nacional,BARCELONA,2
18,2,65 - 69,Mujer,Extranjero,BULGARIA,1
5,4,80 - 84,Hombre,Nacional,BARCELONA,1
11,4,80 - 84,Hombre,Nacional,TOLEDO,1
5,2,30 - 34,Mujer,Nacional,BADAJOZ,1
6,1,60 - 64,Mujer,Extranjero,COLOMBIA,4
39,4,45 - 49,Hombre,Extranjero,IRLANDA,1
44,3,55 - 59,Mujer,Nacional,MADRID,1
39,3,85 - 89,Mujer,Nacional,TOLEDO,1
34,3,45 - 49,Hombre,Nacional,MALAGA,1
37,3,40 - 44,Mujer,Nacional,VIZCAYA,2
37,3,35 - 39,Mujer,Nacional,BADAJOZ,1
17,4,45 - 49,Hombre,Extranjero,RUMANIA,3
37,3,35 - 39,Hombre,Nacional,TOLEDO,2
13,3,40 - 44,Hombre,Extranjero,POLONIA,2
29,4,30 - 34,Mujer,Extranjero,BULGARIA,3
19,2,40 - 44,Hombre,Extranjero,BRASIL,1
15,1,60 - 64,Hombre,Nacional,BADAJOZ,1
30,4,40 - 44,Mujer,Extranjero,ITALIA,1
12,2,35 - 39,Mujer,Extranjero,FRANCIA,1
13,3,35 - 39,Hombre,Extranjero,REPUBLICA DOMINICANA,1
45,3,95 - 99,Mujer,Nacional,ZAMORA,1
3,4,55 - 59,Hombre,Nacional,PALENCIA,1
42,3,40 - 44,Mujer,Nacional,JAEN,1
39,4,45 - 49,Mujer,Nacional,SALAMANCA,3
12,1,55 - 59,Hombre,Extranjero,RUMANIA,2
21,2,30 - 34,Hombre,Nacional,CASTELLON/CASTELLO,1
39,4,50 - 54,Mujer,Nacional,BADAJOZ,1
11,1,40 - 44,Hombre,Extranjero,VENEZUELA,4
2,1,60 - 64,Hombre,Extranjero,POLONIA,2
16,2,45 - 49,Hombre,Nacional,VALENCIA,1
44,3,45 - 49,Mujer,Nacional,SALAMANCA,1
33,4,40 - 44,Mujer,Extranjero,MEXICO,4
5,3,50 - 54,Hombre,Nacional,SEGOVIA,1
5,1,45 - 49,Hombre,Extranjero,GUINEA ECUATORIAL,1
38,3,35 - 39,Mujer,Nacional,MADRID,1
4,1,30 - 34,Hombre,Extranjero,RUMANIA,4
29,4,40 - 44,Mujer,Nacional,JAEN,1
39,3,40 - 44,Mujer,Nacional,BURGOS,1
14,2,45 - 49,Mujer,Nacional,AVILA,1
43,3,40 - 44,Hombre,Nacional,CORDOBA,2
30,3,50 - 54,Hombre,Nacional,CACERES,1
1,2,40 - 44,Mujer,Extranjero,ITALIA,1
39,4,60 - 64,Hombre,Nacional,TOLEDO,1
39,4,60 - 64,Mujer,Nacional,SEVILLA,1
8,1,30 - 34,Mujer,Extranjero,RUMANIA,5
15,3,45 - 49,Mujer,Extranjero,POLONIA,1
38,3,40 - 44,Hombre,Nacional,CIUDAD REAL,1
47,3,40 - 44,Hombre,Extranjero,SUIZA,1
15,3,95 - 99,Mujer,Nacional,BADAJOZ,1
10,4,55 - 59,Hombre,Extranjero,CHINA,1
10,2,70 - 74,Hombre,Extranjero,BULGARIA,1
2,2,35 - 39,Mujer,Extranjero,RUMANIA,3
33,4,35 - 39,Hombre,Nacional,HUELVA,1
47,3,35 - 39,Mujer,Nacional,VALLADOLID,1
17,4,30 - 34,Hombre,Extranjero,PERU,4
7,3,60 - 64,Hombre,Extranjero,GRECIA,1
36,3,90 - 94,Hombre,Nacional,SEGOVIA,1
5,1,50 - 54,Hombre,Extranjero,POLONIA,1
37,3,40 - 44,Mujer,Nacional,CIUDAD REAL,1
7,1,35 - 39,Mujer,Nacional,CACERES,1
38,4,40 - 44,Hombre,Nacional,CUENCA,1
16,3,55 - 59,Mujer,Extranjero,RUMANIA,1
33,4,55 - 59,Hombre,Extranjero,MEXICO,1
47,3,50 - 54,Mujer,Nacional,ZAMORA,1
29,4,60 - 64,Mujer,Extranjero,PORTUGAL,1
28,4,55 - 59,Hombre,Nacional,ASTURIAS,1
39,4,30 - 34,Mujer,Extranjero,PERU,1
4,2,30 - 34,Hombre,Extranjero,GRECIA,1
9,4,65 - 69,Mujer,Extranjero,RUMANIA,1
38,4,40 - 44,Hombre,Nacional,CUENCA,2
39,3,40 - 44,Hombre,Extranjero,FRANCIA,1
18,3,55 - 59,Mujer,Extranjero,RUMANIA,1
33,4,50 - 54,Mujer,Extranjero,RUMANIA,1
9,4,70 - 74,Hombre,Extranjero,RUMANIA,1
20,2,90 - 94,Mujer,Nacional,BADAJOZ,1
15,1,35 - 39,Mujer,Extranjero,BULGARIA,2
3,3,55 - 59,Hombre,Extranjero,RUMANIA,6
31,3,45 - 49,Mujer,Nacional,SEVILLA,1
11,3,30 - 34,Mujer,Nacional,SEGOVIA,1
25,3,20 - 24,Mujer,Extranjero,FRANCIA,1
17,4,35 - 39,Mujer,Nacional,CACERES,1
4,1,55 - 59,Mujer,Extranjero,RUMANIA,2
33,3,25 - 29,Mujer,Extranjero,ECUADOR,2
33,4,45 - 49,Hombre,Nacional,PONTEVEDRA,1
16,4,30 - 34,Mujer,Extranjero,RUMANIA,11
3,3,25 - 29,Hombre,Extranjero,RUMANIA,4
12,2,30 - 34,Mujer,Extranjero,COLOMBIA,3
8,1,30 - 34,Hombre,Extranjero,FRANCIA,1
13,2,40 - 44,Hombre,Extranjero,MARRUECOS,3
16,2,30 - 34,Mujer,Extranjero,HUNGRIA,1
37,3,45 - 49,Mujer,Nacional,TOLEDO,1
3,3,35 - 39,Hombre,Nacional,CACERES,1
32,3,45 - 49,Hombre,Extranjero,GEORGIA,1
11,4,35 - 39,Mujer,Nacional,CACERES,1
16,4,30 - 34,Mujer,Extranjero,FRANCIA,1
5,1,30 - 34,Hombre,Extranjero,ITALIA,2
29,4,85 - 89,Mujer,Nacional,LUGO,1
18,2,45 - 49,Hombre,Nacional,LEON,1
18,1,75 - 79,Mujer,Nacional,ALICANTE/ALACANT,1
11,1,30 - 34,Mujer,Extranjero,REINO UNIDO,1
13,2,45 - 49,Hombre,Nacional,AVILA,1
11,3,40 - 44,Mujer,Extranjero,RUMANIA,4
10,3,90 - 94,Mujer,Nacional,BURGOS,1
4,3,30 - 34,Mujer,Extranjero,POLONIA,1
36,4,40 - 44,Mujer,Nacional,CADIZ,1
13,3,70 - 74,Mujer,Extranjero,RUMANIA,1
44,3,50 - 54,Mujer,Nacional,VIZCAYA,1
3,2,75 - 79,Hombre,Extranjero,RUMANIA,1
10,2,55 - 59,Mujer,Extranjero,RUMANIA,1
9,2,55 - 59,Hombre,Extranjero,BRASIL,2
44,3,45 - 49,Hombre,Nacional,ZAMORA,2
19,1,55 - 59,Hombre,Extranjero,CUBA,4
28,3,50 - 54,Hombre,Nacional,TOLEDO,1
7,3,25 - 29,Hombre,Extranjero,RUMANIA,4
11,1,40 - 44,Hombre,Nacional,ZAMORA,1
14,1,30 - 34,Hombre,Nacional,MADRID,1
10,2,35 - 39,Mujer,Nacional,MURCIA,1
10,2,20 - 24,Hombre,Nacional,MADRID,7
22,3,20 - 24,Hombre,Nacional,,9
20,2,50 - 54,Hombre,Extranjero,PERU,1
16,1,50 - 54,Mujer,Extranjero,BRASIL,1
44,3,85 - 89,Hombre,Nacional,CUENCA,1
25,3,45 - 49,Mujer,Nacional,BARCELONA,1
11,4,40 - 44,Hombre,Nacional,SALAMANCA,1
38,3,35 - 39,Mujer,Nacional,CANTABRIA,1
22,3,70 - 74,Hombre,Nacional,MADRID,1
30,3,40 - 44,Hombre,Nacional,TOLEDO,1
36,3,40 - 44,Hombre,Nacional,TOLEDO,1
31,3,40 - 44,Hombre,Extranjero,RUMANIA,1
4,1,90 - 94,Mujer,Nacional,,1
7,3,35 - 39,Mujer,Extranjero,GUINEA ECUATORIAL,3
27,4,70 - 74,Hombre,Nacional,GRANADA,1
12,3,60 - 64,Hombre,Nacional,BADAJOZ,1
13,2,50 - 54,Hombre,Nacional,VALENCIA,1
45,3,70 - 74,Mujer,Nacional,VALLADOLID,1
10,2,35 - 39,Mujer,Extranjero,RUMANIA,5
6,4,30 - 34,Hombre,Extranjero,RUMANIA,3
2,2,35 - 39,Hombre,Nacional,GUIPUZCOA,1
3,1,60 - 64,Mujer,Extranjero,RUMANIA,2
7,3,75 - 79,Mujer,Extranjero,RUMANIA,1
15,4,50 - 54,Mujer,Extranjero,RUMANIA,5
2,3,40 - 44,Hombre,Extranjero,BULGARIA,1
3,2,30 - 34,Hombre,Extranjero,RUMANIA,6
44,3,40 - 44,Hombre,Nacional,CIUDAD REAL,2
39,3,70 - 74,Mujer,Nacional,BADAJOZ,1
33,4,45 - 49,Mujer,Nacional,MURCIA,1
5,1,45 - 49,Mujer,Extranjero,FRANCIA,1
38,3,65 - 69,Hombre,Nacional,ZAMORA,1
33,3,35 - 39,Mujer,Extranjero,ITALIA,1
4,4,70 - 74,Mujer,Extranjero,REPUBLICA DOMINICANA,1
6,3,40 - 44,Mujer,Extranjero,BULGARIA,2
34,4,35 - 39,Hombre,Nacional,SALAMANCA,1
9,2,35 - 39,Hombre,Extranjero,VENEZUELA,2
28,4,55 - 59,Hombre,Nacional,PONTEVEDRA,1
14,4,55 - 59,Hombre,Extranjero,UCRANIA,1
30,4,95 - 99,Mujer,Nacional,CACERES,1
7,2,50 - 54,Mujer,Extranjero,RUMANIA,4
32,3,60 - 64,Hombre,Nacional,BARCELONA,2
23,4,45 - 49,Hombre,Nacional,AVILA,1
29,4,25 - 29,Hombre,Extranjero,BULGARIA,5
35,4,65 - 69,Hombre,Nacional,BADAJOZ,1
34,3,60 - 64,Mujer,Nacional,BADAJOZ,1
42,3,40 - 44,Mujer,Nacional,TERUEL,1
17,1,50 - 54,Mujer,Extranjero,FRANCIA,1
1,2,75 - 79,Hombre,Nacional,MADRID,1
10,4,85 - 89,Mujer,Nacional,CACERES,1
46,3,35 - 39,Mujer,Nacional,ZARAGOZA,1
4,1,65 - 69,Mujer,Nacional,TOLEDO,1
12,4,45 - 49,Hombre,Extranjero,BULGARIA,1
42,3,35 - 39,Hombre,Nacional,BURGOS,1
2,1,35 - 39,Hombre,Nacional,PALMAS DE GRAN CANARIA (LAS),1
9,4,30 - 34,Mujer,Nacional,,1
13,1,35 - 39,Mujer,Extranjero,MARRUECOS,4
28,3,20 - 24,Hombre,Nacional,MADRID,12
47,3,40 - 44,Mujer,Extranjero,RUMANIA,3
35,4,60 - 64,Mujer,Nacional,,1
7,2,55 - 59,Mujer,Extranjero,VENEZUELA,2
34,4,35 - 39,Hombre,Nacional,BARCELONA,2
27,3,55 - 59,Hombre,Extranjero,RUMANIA,1
9,4,70 - 74,Hombre,Extranjero,ECUADOR,2
9,3,60 - 64,Mujer,Extranjero,RUMANIA,1
14,2,25 - 29,Hombre,Extranjero,RUMANIA,2
38,4,65 - 69,Hombre,Nacional,JAEN,1
46,3,35 - 39,Hombre,Nacional,VALLADOLID,2
6,3,65 - 69,Mujer,Extranjero,BULGARIA,2
42,3,55 - 59,Hombre,Nacional,MURCIA,1
13,4,35 - 39,Mujer,Extranjero,UCRANIA,2
13,4,75 - 79,Mujer,Nacional,ZAMORA,1
27,4,45 - 49,Mujer,Extranjero,ECUADOR,4
43,3,45 - 49,Hombre,Extranjero,BELGICA,1
46,3,40 - 44,Mujer,Nacional,VALENCIA,1
38,4,35 - 39,Hombre,Nacional,CIUDAD REAL,1
41,3,60 - 64,Hombre,Nacional,CACERES,1
7,4,75 - 79,Mujer,Nacional,LUGO,1
11,4,15 - 19,Hombre,Nacional,MADRID,1
6,2,30 - 34,Hombre,Extranjero,COLOMBIA,4
9,3,30 - 34,Hombre,Extranjero,ECUADOR,1
5,2,15 - 19,Hombre,Nacional,MADRID,9
32,4,80 - 84,Hombre,Nacional,CUENCA,1
7,1,40 - 44,Mujer,Nacional,CASTELLON/CASTELLO,1
34,4,35 - 39,Mujer,Nacional,CORDOBA,1
18,3,35 - 39,Mujer,Extranjero,ECUADOR,1
18,4,40 - 44,Hombre,Extranjero,RUMANIA,6
43,3,35 - 39,Mujer,Nacional,CADIZ,1
29,4,85 - 89,Mujer,Nacional,,1
6,4,40 - 44,Mujer,Extranjero,RUMANIA,2
46,3,35 - 39,Mujer,Nacional,GRANADA,1
26,4,35 - 39,Hombre,Extranjero,MARRUECOS,1
23,3,50 - 54,Hombre,Nacional,TOLEDO,1
3,2,25 - 29,Hombre,Nacional,GIRONA,1
35,4,30 - 34,Mujer,Nacional,VALLADOLID,1
1,2,55 - 59,Mujer,Nacional,TOLEDO,1
8,4,45 - 49,Hombre,Extranjero,UCRANIA,1
6,1,40 - 44,Hombre,Extranjero,BRASIL,2
30,3,40 - 44,Hombre,Extranjero,REPUBLICA CHECA,1
26,4,40 - 44,Mujer,Extranjero,ESTADOS UNIDOS DE AMERICA,1
3,3,60 - 64,Hombre,Extranjero,COLOMBIA,1
7,3,60 - 64,Hombre,Extranjero,BULGARIA,1
9,1,30 - 34,Mujer,Extranjero,BRASIL,1
6,1,35 - 39,Hombre,Extranjero,ECUADOR,5
32,3,40 - 44,Hombre,Extranjero,CHINA,3
32,3,50 - 54,Mujer,Extranjero,ARGENTINA,1
12,4,95 - 99,Mujer,Extranjero,MARRUECOS,1
5,1,75 - 79,Mujer,Extranjero,UCRANIA,1
39,3,55 - 59,Hombre,Extranjero,CHINA,3
34,4,35 - 39,Mujer,Extranjero,URUGUAY,1
21,4,50 - 54,Mujer,Extranjero,COLOMBIA,4
21,4,50 - 54,Mujer,Nacional,CUENCA,1
47,3,40 - 44,Hombre,Nacional,ASTURIAS,1
35,4,35 - 39,Hombre,Nacional,AVILA,2
34,4,40 - 44,Hombre,Nacional,TOLEDO,2
31,4,60 - 64,Hombre,Nacional,CIUDAD REAL,1
1,4,65 - 69,Mujer,Extranjero,BULGARIA,1
6,3,15 - 19,Hombre,Nacional,,19
1,4,40 - 44,Mujer,Extranjero,CHINA,1
10,1,45 - 49,Hombre,Extranjero,BULGARIA,1
2,2,50 - 54,Hombre,Extranjero,BULGARIA,1
37,4,65 - 69,Hombre,Nacional,JAEN,1
11,3,70 - 74,Hombre,Nacional,CACERES,1
23,3,75 - 79,Hombre,Nacional,CACERES,1
6,1,60 - 64,Hombre,Nacional,CANTABRIA,1
9,2,65 - 69,Mujer,Nacional,TOLEDO,1
38,4,70 - 74,Hombre,Nacional,CUENCA,1
42,3,55 - 59,Mujer,Nacional,TOLEDO,1
47,3,35 - 39,Mujer,Extranjero,VENEZUELA,4
14,1,15 - 19,Mujer,Extranjero,RUMANIA,3
10,2,70 - 74,Hombre,Nacional,JAEN,1
1,4,60 - 64,Mujer,Extranjero,UCRANIA,1
38,3,55 - 59,Hombre,Extranjero,CHINA,5
38,3,60 - 64,Mujer,Nacional,TOLEDO,1
39,4,55 - 59,Mujer,Nacional,SEGOVIA,1
34,4,45 - 49,Hombre,Nacional,PALMAS DE GRAN CANARIA (LAS),1
3,4,45 - 49,Mujer,Nacional,BURGOS,1
6,1,35 - 39,Hombre,Extranjero,BULGARIA,1
12,1,60 - 64,Hombre,Nacional,CIUDAD REAL,1
34,3,50 - 54,Mujer,Nacional,TOLEDO,1
33,4,50 - 54,Hombre,Nacional,TOLEDO,1
39,3,50 - 54,Hombre,Nacional,CIUDAD REAL,1
36,4,30 - 34,Mujer,Nacional,SALAMANCA,2
13,1,40 - 44,Mujer,Extranjero,MEXICO,1
26,4,45 - 49,Mujer,Extranjero,CUBA,2
37,4,35 - 39,Hombre,Nacional,CACERES,2
47,3,40 - 44,Hombre,Nacional,SEVILLA,1
34,4,60 - 64,Mujer,Extranjero,MARRUECOS,2
8,3,45 - 49,Hombre,Extranjero,CHINA,1
7,4,20 - 24,Mujer,Nacional,MADRID,5
9,1,50 - 54,Hombre,Extranjero,ECUADOR,1
21,4,55 - 59,Hombre,Extranjero,COLOMBIA,2
16,2,70 - 74,Mujer,Extranjero,CHILE,1
24,4,40 - 44,Hombre,Extranjero,CHINA,1
7,4,65 - 69,Hombre,Extranjero,PERU,1
15,1,35 - 39,Mujer,Extranjero,CUBA,1
35,4,40 - 44,Mujer,Nacional,SALAMANCA,2
5,4,50 - 54,Mujer,Extranjero,PERU,2
13,4,40 - 44,Hombre,Extranjero,MARRUECOS,3
18,1,50 - 54,Hombre,Extranjero,MARRUECOS,1
6,3,45 - 49,Mujer,Extranjero,JAPON,1
46,3,35 - 39,Hombre,Extranjero,ECUADOR,1
26,4,40 - 44,Mujer,Nacional,GIRONA,1
3,1,85 - 89,Mujer,Nacional,VALENCIA,1
16,4,40 - 44,Hombre,Extranjero,MARRUECOS,8
31,4,60 - 64,Mujer,Nacional,BURGOS,1
30,4,30 - 34,Mujer,Extranjero,RUMANIA,4
38,4,65 - 69,Hombre,Nacional,MADRID,2
1,2,45 - 49,Hombre,Extranjero,COLOMBIA,2
19,3,70 - 74,Hombre,Nacional,BADAJOZ,1
36,4,40 - 44,Hombre,Nacional,BADAJOZ,2
36,4,40 - 44,Mujer,Nacional,MADRID,1
4,2,35 - 39,Hombre,Nacional,CADIZ,1
34,4,40 - 44,Hombre,Nacional,JAEN,2
19,1,20 - 24,Hombre,Extranjero,COLOMBIA,4
26,4,80 - 84,Hombre,Extranjero,ECUADOR,1
4,4,70 - 74,Hombre,Nacional,MADRID,1
36,3,50 - 54,Hombre,Extranjero,CHINA,2
32,3,90 - 94,Mujer,Nacional,MADRID,1
17,1,75 - 79,Hombre,Nacional,SALAMANCA,1
43,3,35 - 39,Mujer,Nacional,MADRID,3
26,4,25 - 29,Mujer,Nacional,ALBACETE,1
4,4,55 - 59,Hombre,Extranjero,COLOMBIA,3
42,3,30 - 34,Hombre,Extranjero,FRANCIA,2
2,2,35 - 39,Hombre,Extranjero,COLOMBIA,2
9,2,85 - 89,Mujer,Nacional,TOLEDO,1
1,3,25 - 29,Mujer,Nacional,,11
37,4,35 - 39,Hombre,Extranjero,URUGUAY,1
16,2,65 - 69,Hombre,Nacional,TOLEDO,1
18,1,65 - 69,Mujer,Extranjero,RUMANIA,2
43,3,40 - 44,Hombre,Nacional,CIUDAD REAL,1
43,3,30 - 34,Mujer,Nacional,MADRID,1
46,3,80 - 84,Mujer,Nacional,BURGOS,1
2,3,55 - 59,Mujer,Extranjero,PERU,2
14,4,65 - 69,Mujer,Extranjero,ECUADOR,2
47,3,40 - 44,Hombre,Nacional,AVILA,1
4,1,40 - 44,Mujer,Extranjero,URUGUAY,1
14,3,60 - 64,Hombre,Extranjero,MARRUECOS,2
3,2,45 - 49,Hombre,Extranjero,MARRUECOS,9
12,3,40 - 44,Mujer,Extranjero,MARRUECOS,4
13,1,75 - 79,Mujer,Nacional,BADAJOZ,1
15,1,60 - 64,Hombre,Extranjero,ECUADOR,3
4,4,30 - 34,Mujer,Nacional,AVILA,1
47,3,35 - 39,Hombre,Extranjero,UCRANIA,1
36,4,40 - 44,Mujer,Nacional,TERUEL,1
39,3,60 - 64,Mujer,Nacional,ALICANTE/ALACANT,1
1,2,40 - 44,Hombre,Extranjero,ECUADOR,3
12,3,20 - 24,Mujer,Extranjero,ECUADOR,2
10,2,80 - 84,Mujer,Nacional,MADRID,1
12,2,50 - 54,Hombre,Extranjero,UCRANIA,1
43,3,40 - 44,Hombre,Nacional,BADAJOZ,1
