seccion,distrito,rango_edad,sexo,nacionalidad,procedencia,total
1,3,55 - 59,Mujer,Nacional,,1
1,3,75 - 79,Hombre,Nacional,JAEN,1
4,3,45 - 49,Hombre,Nacional,MADRID,32
5,1,55 - 59,Hombre,Nacional,CACERES,1
1,3,80 - 84,Hombre,Nacional,CUENCA,1
1,3,70 - 74,Mujer,Nacional,SEGOVIA,1
1,3,85 - 89,Mujer,Nacional,CIUDAD REAL,1
1,3,75 - 79,Hombre,Nacional,BADAJOZ,1
7,4,35 - 39,Mujer,Nacional,MADRID,16
16,2,70 - 74,Hombre,Nacional,CIUDAD REAL,1
1,3,70 - 74,Hombre,Nacional,MADRID,1
1,3,75 - 79,Hombre,Nacional,SEGOVIA,1
2,3,70 - 74,Mujer,Nacional,TOLEDO,1
2,3,85 - 89,Mujer,Nacional,TOLEDO,1
1,3,70 - 74,Mujer,Nacional,MURCIA,1
39,4,45 - 49,Hombre,Nacional,MADRID,96
2,3,75 - 79,Mujer,Nacional,TOLEDO,1
2,3,85 - 89,Mujer,Nacional,TOLEDO,1
2,3,85 - 89,Mujer,Nacional,CIUDAD REAL,1
2,3,80 - 84,Hombre,Nacional,TOLEDO,1
2,3,40 - 44,Hombre,Nacional,MADRID,18
2,3,75 - 79,Mujer,Nacional,MADRID,6
2,3,65 - 69,Hombre,Nacional,BADAJOZ,1
5,3,60 - 64,Mujer,Nacional,BADAJOZ,1
37,4,35 - 39,Mujer,Nacional,MADRID,183
1,3,75 - 79,Mujer,Nacional,CIUDAD REAL,1
1,4,70 - 74,Mujer,Nacional,CACERES,1
2,3,65 - 69,Mujer,Nacional,BADAJOZ,1
7,4,70 - 74,Mujer,Nacional,AVILA,1
2,3,70 - 74,Mujer,Nacional,GUADALAJARA,1
1,3,60 - 64,Mujer,Nacional,CADIZ,1
1,3,90 - 94,Hombre,Nacional,JAEN,1
2,3,75 - 79,Hombre,Nacional,BADAJOZ,1
7,4,60 - 64,Hombre,Nacional,MADRID,5
36,4,35 - 39,Hombre,Nacional,MADRID,152
15,3,50 - 54,Hombre,Nacional,MADRID,17
7,4,85 - 89,Mujer,Nacional,CORDOBA,1
20,2,45 - 49,Mujer,Nacional,MADRID,126
45,3,65 - 69,Hombre,Nacional,SEGOVIA,1
1,3,65 - 69,Mujer,Nacional,TOLEDO,1
6,1,40 - 44,Hombre,Nacional,MADRID,76
2,3,70 - 74,Mujer,Nacional,BADAJOZ,1
2,3,70 - 74,Hombre,Nacional,MADRID,1
1,3,65 - 69,Hombre,Nacional,CORDOBA,1
2,3,95 - 99,Mujer,Nacional,BADAJOZ,1
