functional_code,name,primary_ods,secondary_ods_1,secondary_ods_2,secondary_ods_3,secondary_ods_4,amount,primary_ods_amount,secondary_ods_1_amount,secondary_ods_2_amount,secondary_ods_3_amount,secondary_ods_4_amount
"491","Sociedad de la información.","9","9","17",,,"307961.0","153980.5","76990.25","76990.25","0","0"
"492","Gestión del conocimiento.","9",,,,,"1600.0","1600.0","0","0","0","0"
"493","Protección de consumidores y usuarios.","12","12",,,,"15728.0","11796.0","3932.0","0","0","0"
"912","Órganos de gobierno.",,,,,,"416327.0","416327.0","0","0","0","0"
"920","Administración General.",,,,,,"2319127.0","2319127.0","0","0","0","0"
"922","Coordinación y organización institucional de las entidades locales.","16",,,,,"1000.0","1000.0","0","0","0","0"
"923","Información básica y estadística.","17","17",,,,"0","0.0","0.0","0","0","0"
"924","Participación ciudadana.","16","16",,,,"99808.0","74856.0","24952.0","0","0","0"
"925","Atención a los ciudadanos.","16","16",,,,"306289.0","229716.75","76572.25","0","0","0"
"926","Comunicaciones internas.",,,,,,"0","0","0","0","0","0"
"929","Imprevistos, situaciones transitorias y contingencias de ejecución.",,,,,,"145000.0","145000.0","0","0","0","0"
"931","Política económica y fiscal.","17",,,,,"461889.0","461889.0","0","0","0","0"
"932","Gestión del sistema tributario.","17",,,,,"358395.0","358395.0","0","0","0","0"
"933","Gestión del patrimonio.","17","11",,,,"0","0.0","0.0","0","0","0"
"934","Gestión de la deuda y de la tesorería.","16",,,,,"9000.0","9000.0","0","0","0","0"
"941","Transferencias a Comunidades Autónomas.",,,,,,"0","0","0","0","0","0"
"942","Transferencias a Entidades Locales territoriales.",,,,,,"0","0","0","0","0","0"
"943","Transferencias a otras Entidades Locales.",,,,,,"0","0","0","0","0","0"
"944","Transferencias a la Administración General del Estado.",,,,,,"0","0","0","0","0","0"
"011","Deuda Pública.",,,,,,"0","0","0","0","0","0"
